Month,Creative ID,Creative Name,Headline,CTA,Creative Type,Impressions,Clicks,Spend,Reach,CTR %,CPC
2025-12,1362505018740844,Dynamic Product Ad (Catalog),N/A,N/A,Dynamic/Catalog,866131,8935,3520.78,737248,1.03,0.39
2025-12,1197577565607034,Get the 2026 Catalog,Get the 2026 Catalog,SHOP_NOW,Video,466962,7114,3276.62,431622,1.52,0.46
2025-12,1382956856954184,The best gardens start with heirloom seeds,N/A,ORDER_NOW,Video,429042,4579,2758.92,313696,1.07,0.6
2025-12,4238256303157643,Dynamic Product Ad (Catalog),Dynamic Product,SHOP_NOW,Dynamic/Catalog,258903,9601,2446.42,184673,3.71,0.25
2025-12,1552713659378209,Heirloom Seeds,Heirloom Seeds,ORDER_NOW,Video,270041,3076,1670.94,216056,1.14,0.54
2025-12,1540620173735545,Plant a Holiday Memory,Plant a Holiday Memory,SHOP_NOW,Video,134311,1512,1240.53,116617,1.13,0.82
2025-12,838800132411841,Happy Holidays from Rareseeds!,Happy Holidays from Rareseeds!,SHOP_NOW,Image,84227,1327,977.44,52819,1.58,0.74
2025-12,2359277087827650,A Simple Gift - A Season of Beauty,A Simple Gift - A Season of Beauty,SHOP_NOW,Image,164682,937,837.31,117034,0.57,0.89
2025-12,1958214701773712,Give Heirlooms - Give Joy,Give Heirlooms - Give Joy,SHOP_NOW,Video,106134,1377,789.12,92424,1.3,0.57
2025-12,1168540365380633,Dynamic Product Ad (Catalog),N/A,N/A,Dynamic/Catalog,117900,1179,557.24,107071,1.0,0.47
2025-12,830754719713429,For the Gardener on Your List,Premium Gift - Big Value,SHOP_NOW,Image,122698,1191,532.02,100783,0.97,0.45
2025-12,659433123697994,Baker Creek Heirloom Seeds!,Baker Creek Heirloom Seeds!,SHOP_NOW,Image,31542,921,436.71,26497,2.92,0.47
2025-12,1696974217650547,Baker Creek Heirloom Seeds!,Baker Creek Heirloom Seeds!,SHOP_NOW,Image,34945,888,370.82,30013,2.54,0.42
2025-12,1154678356646266,Grow Palemeno Tomato,Grow Palemeno Tomato,SHOP_NOW,Image,61806,1108,315.49,52432,1.79,0.28
2025-12,744662871361071,Dynamic Product Ad (Catalog),N/A,N/A,Dynamic/Catalog,31307,291,221.79,22154,0.93,0.76
2025-12,25979810284952950,The Holiday Gift That Keeps Growing,The Holiday Gift That Keeps Growing,ORDER_NOW,Video,16373,82,91.58,14582,0.5,1.12
2025-12,1859406578046408,Heirloom Joy - Wrapped for the Holidays,Heirloom Joy - Wrapped for the Holidays,SHOP_NOW,Video,3299,55,24.74,3083,1.67,0.45
2025-12,1182634767088776,Dynamic Product Ad (Catalog),N/A,N/A,Dynamic/Catalog,3879,45,18.54,3552,1.16,0.41
2025-12,2177359293071634,Elegant Blooms for Every Garden!,Elegant Blooms for Every Garden!,SHOP_NOW,Image,2026,60,12.49,1851,2.96,0.21
2025-11,1197577565607034,Get the 2026 Catalog,Get the 2026 Catalog,SHOP_NOW,Video,600397,10618,4815.74,561538,1.77,0.45
2025-11,1362505018740844,Dynamic Product Ad (Catalog),N/A,N/A,Dynamic/Catalog,618285,7677,3017.04,563925,1.24,0.39
2025-11,1382956856954184,The best gardens start with heirloom seeds,N/A,ORDER_NOW,Video,171216,2614,1283.06,131430,1.53,0.49
2025-11,1696974217650547,Baker Creek Heirloom Seeds!,Baker Creek Heirloom Seeds!,SHOP_NOW,Image,130742,3692,1237.18,103530,2.82,0.34
2025-11,1552713659378209,Heirloom Seeds,Heirloom Seeds,ORDER_NOW,Video,201591,2515,1228.76,161789,1.25,0.49
2025-11,4238256303157643,Dynamic Product Ad (Catalog),Dynamic Product,SHOP_NOW,Dynamic/Catalog,54541,2250,691.85,37304,4.13,0.31
2025-11,659433123697994,Baker Creek Heirloom Seeds!,Baker Creek Heirloom Seeds!,SHOP_NOW,Image,54492,1617,650.04,45652,2.97,0.4
2025-11,1168540365380633,Dynamic Product Ad (Catalog),N/A,N/A,Dynamic/Catalog,103419,875,397.72,101310,0.85,0.45
2025-11,1540620173735545,Plant a Holiday Memory,Plant a Holiday Memory,SHOP_NOW,Video,36015,508,386.46,30488,1.41,0.76
2025-11,830754719713429,For the Gardener on Your List,Premium Gift - Big Value,SHOP_NOW,Image,62854,868,368.98,51234,1.38,0.43
2025-11,1958214701773712,Give Heirlooms - Give Joy,Give Heirlooms - Give Joy,SHOP_NOW,Video,33414,538,358.13,30428,1.61,0.67
2025-11,2359277087827650,A Simple Gift - A Season of Beauty,A Simple Gift - A Season of Beauty,SHOP_NOW,Image,35030,326,296.01,24825,0.93,0.91
2025-11,1859406578046408,Heirloom Joy - Wrapped for the Holidays,Heirloom Joy - Wrapped for the Holidays,SHOP_NOW,Video,7629,140,55.75,7034,1.84,0.4
2025-11,25979810284952950,The Holiday Gift That Keeps Growing,The Holiday Gift That Keeps Growing,ORDER_NOW,Video,5004,54,40.68,4451,1.08,0.75
2025-11,1182634767088776,Dynamic Product Ad (Catalog),N/A,N/A,Dynamic/Catalog,2401,28,5.92,2343,1.17,0.21
